index,lexeme,cell,phon_form,alignment,stem,exponents,method
13167,construct,4,c o n s t r u c t i o n a l,3 4 5 6 7 8 9 10 11 12 13 15 16 18,- c o n s t r u c t -,- i o n a l,"User features, features similarity, Progressive alignment"
13168,construct,5,c o n s t r u c t i o n s,3 4 5 6 7 8 9 10 11 12 13 15 17,- c o n s t r u c t -,- i o n s,"User features, features similarity, Progressive alignment"
13169,construct,6,c o n s t r u c t i v e,3 4 5 6 7 8 9 10 11 12 13 14,- c o n s t r u c t -,- i v e,"User features, features similarity, Progressive alignment"
13170,construct,7,c o n s t r u c t i v e l y,3 4 5 6 7 8 9 10 11 12 13 14 16 18,- c o n s t r u c t -,- i v e l y,"User features, features similarity, Progressive alignment"
13171,construct,8,c o n s t r u c t i v e n e s s,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,- c o n s t r u c t -,- i v e n e s s,"User features, features similarity, Progressive alignment"
13172,construct,9,c o n s t r u c t o r,3 4 5 6 7 8 9 10 11 13 14,- c o n s t r u c t -,- o r,"User features, features similarity, Progressive alignment"
13173,construct,10,c o n s t r u c t o r s,3 4 5 6 7 8 9 10 11 13 14 17,- c o n s t r u c t -,- o r s,"User features, features similarity, Progressive alignment"
13174,construct,11,c o n s t r u c t s,3 4 5 6 7 8 9 10 11 17,- c o n s t r u c t -,- s,"User features, features similarity, Progressive alignment"
13175,construct,12,m i s c o n s t r u c t i o n,0 1 2 3 4 5 6 7 8 9 10 11 12 13 15,- c o n s t r u c t -,m i s - i o n,"User features, features similarity, Progressive alignment"
13176,construct,13,m i s c o n s t r u c t i o n s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 17,- c o n s t r u c t -,m i s - i o n s,"User features, features similarity, Progressive alignment"
13177,construct,14,r e c o n s t r u c t,0 1 3 4 5 6 7 8 9 10 11,- c o n s t r u c t -,r e -,"User features, features similarity, Progressive alignment"
13178,construct,15,r e c o n s t r u c t e d,0 1 3 4 5 6 7 8 9 10 11 14 18,- c o n s t r u c t -,r e - e d,"User features, features similarity, Progressive alignment"
13179,construct,16,r e c o n s t r u c t i n g,0 1 3 4 5 6 7 8 9 10 11 12 15 16,- c o n s t r u c t -,r e - i n g,"User features, features similarity, Progressive alignment"
13180,construct,17,r e c o n s t r u c t i o n,0 1 3 4 5 6 7 8 9 10 11 12 13 15,- c o n s t r u c t -,r e - i o n,"User features, features similarity, Progressive alignment"
13181,construct,18,r e c o n s t r u c t i o n s,0 1 3 4 5 6 7 8 9 10 11 12 13 15 17,- c o n s t r u c t -,r e - i o n s,"User features, features similarity, Progressive alignment"
13182,construct,19,r e c o n s t r u c t s,0 1 3 4 5 6 7 8 9 10 11 17,- c o n s t r u c t -,r e - s,"User features, features similarity, Progressive alignment"
13183,construe,0,c o n s t r u c t i o n,3 4 5 6 7 8 9 10 11 12 14 15,- c o n s t r u -,- c t i o n,"User features, features similarity, Progressive alignment"
13184,construe,1,c o n s t r u c t i o n a l,3 4 5 6 7 8 9 10 11 12 14 15 17 18,- c o n s t r u -,- c t i o n a l,"User features, features similarity, Progressive alignment"
13185,construe,2,c o n s t r u c t i o n s,3 4 5 6 7 8 9 10 11 12 14 15 18,- c o n s t r u -,- c t i o n s,"User features, features similarity, Progressive alignment"
13186,construe,3,c o n s t r u c t i v e,3 4 5 6 7 8 9 10 11 12 13 16,- c o n s t r u -,- c t i v e,"User features, features similarity, Progressive alignment"
13187,construe,4,c o n s t r u c t i v e l y,3 4 5 6 7 8 9 10 11 12 13 16 17 18,- c o n s t r u -,- c t i v e l y,"User features, features similarity, Progressive alignment"
13188,construe,5,c o n s t r u c t i v e n e s s,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,- c o n s t r u -,- c t i v e n e s s,"User features, features similarity, Progressive alignment"
13189,construe,6,c o n s t r u e,3 4 5 6 7 8 9 16,- c o n s t r u -,- e,"User features, features similarity, Progressive alignment"
13190,construe,7,c o n s t r u e d,3 4 5 6 7 8 9 16 17,- c o n s t r u -,- e d,"User features, features similarity, Progressive alignment"
13191,construe,8,c o n s t r u e s,3 4 5 6 7 8 9 16 18,- c o n s t r u -,- e s,"User features, features similarity, Progressive alignment"
13192,construe,9,c o n s t r u i n g,3 4 5 6 7 8 9 12 15 17,- c o n s t r u -,- i n g,"User features, features similarity, Progressive alignment"
13193,construe,10,m i s c o n s t r u c t i o n,0 1 2 3 4 5 6 7 8 9 10 11 12 14 15,- c o n s t r u -,m i s - c t i o n,"User features, features similarity, Progressive alignment"
13194,construe,11,m i s c o n s t r u c t i o n s,0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 18,- c o n s t r u -,m i s - c t i o n s,"User features, features similarity, Progressive alignment"
13195,construe,12,m i s c o n s t r u e,0 1 2 3 4 5 6 7 8 9 16,- c o n s t r u -,m i s - e,"User features, features similarity, Progressive alignment"
13196,construe,13,m i s c o n s t r u e d,0 1 2 3 4 5 6 7 8 9 16 17,- c o n s t r u -,m i s - e d,"User features, features similarity, Progressive alignment"
13197,construe,14,m i s c o n s t r u e s,0 1 2 3 4 5 6 7 8 9 16 18,- c o n s t r u -,m i s - e s,"User features, features similarity, Progressive alignment"
13198,construe,15,m i s c o n s t r u i n g,0 1 2 3 4 5 6 7 8 9 12 15 17,- c o n s t r u -,m i s - i n g,"User features, features similarity, Progressive alignment"
13199,construe,16,r e c o n s t r u c t i o n,0 2 3 4 5 6 7 8 9 10 11 12 14 15,- c o n s t r u -,r e - c t i o n,"User features, features similarity, Progressive alignment"
13200,construe,17,r e c o n s t r u c t i o n s,0 2 3 4 5 6 7 8 9 10 11 12 14 15 18,- c o n s t r u -,r e - c t i o n s,"User features, features similarity, Progressive alignment"
13201,consul,0,c o n s u l,3 4 5 6 7 8,- c o n s u l -,-,"User features, features similarity, Progressive alignment"
13202,consul,1,c o n s u l a r,3 4 5 6 7 8 9 12,- c o n s u l -,- a r,"User features, features similarity, Progressive alignment"
13203,consul,2,c o n s u l a t e,3 4 5 6 7 8 9 10 11,- c o n s u l -,- a t e,"User features, features similarity, Progressive alignment"
13204,consul,3,c o n s u l a t e s,3 4 5 6 7 8 9 10 11 13,- c o n s u l -,- a t e s,"User features, features similarity, Progressive alignment"
13205,consul,4,c o n s u l s,3 4 5 6 7 8 13,- c o n s u l -,- s,"User features, features similarity, Progressive alignment"
13206,consul,5,c o n s u l s h i p,3 4 5 6 7 8 9 10 11 12,- c o n s u l -,- s h i p,"User features, features similarity, Progressive alignment"
13207,consul,6,c o n s u l s h i p s,3 4 5 6 7 8 9 10 11 12 13,- c o n s u l -,- s h i p s,"User features, features similarity, Progressive alignment"
13208,consul,7,p r o c o n s u l,0 1 2 3 4 5 6 7 8,- c o n s u l -,p r o -,"User features, features similarity, Progressive alignment"
13209,consul,8,p r o c o n s u l a r,0 1 2 3 4 5 6 7 8 9 12,- c o n s u l -,p r o - a r,"User features, features similarity, Progressive alignment"
13210,consul,9,p r o c o n s u l a t e,0 1 2 3 4 5 6 7 8 9 10 11,- c o n s u l -,p r o - a t e,"User features, features similarity, Progressive alignment"
13211,consul,10,p r o c o n s u l a t e s,0 1 2 3 4 5 6 7 8 9 10 11 13,- c o n s u l -,p r o - a t e s,"User features, features similarity, Progressive alignment"
13212,consul,11,p r o c o n s u l s,0 1 2 3 4 5 6 7 8 13,- c o n s u l -,p r o - s,"User features, features similarity, Progressive alignment"
13213,consul,12,p r o c o n s u l s h i p,0 1 2 3 4 5 6 7 8 9 10 11 12,- c o n s u l -,p r o - s h i p,"User features, features similarity, Progressive alignment"
13214,consul,13,p r o c o n s u l s h i p s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,- c o n s u l -,p r o - s h i p s,"User features, features similarity, Progressive alignment"
13215,consulting,0,c o n s u l t i n g,0 1 2 3 4 5 6 7 8 9,c o n s u l t i n g,-,"User features, features similarity, Progressive alignment"
13216,consuming,0,c o n s u m i n g,4 5 6 7 8 9 10 11 12,- c o n s u m i n g,-,"User features, features similarity, Progressive alignment"
13217,consuming,1,t i m e - c o n s u m i n g,0 1 2 3 4 5 6 7 8 9 10 11 12,- c o n s u m i n g,t i m e -,"User features, features similarity, Progressive alignment"
13218,consummate,0,c o n s u m m a t e,0 1 2 3 4 5 6 7 8 10,c o n s u m m a t -,- e,"User features, features similarity, Progressive alignment"
13219,consummate,1,c o n s u m m a t e d,0 1 2 3 4 5 6 7 8 10 12,c o n s u m m a t -,- e d,"User features, features similarity, Progressive alignment"
13220,consummate,2,c o n s u m m a t e l y,0 1 2 3 4 5 6 7 8 10 11 12,c o n s u m m a t -,- e l y,"User features, features similarity, Progressive alignment"
13221,consummate,3,c o n s u m m a t e s,0 1 2 3 4 5 6 7 8 10 12,c o n s u m m a t -,- e s,"User features, features similarity, Progressive alignment"
13222,consummate,4,c o n s u m m a t i n g,0 1 2 3 4 5 6 7 8 9 11 12,c o n s u m m a t -,- i n g,"User features, features similarity, Progressive alignment"
13223,consummate,5,c o n s u m m a t i o n,0 1 2 3 4 5 6 7 8 9 10 11,c o n s u m m a t -,- i o n,"User features, features similarity, Progressive alignment"
